"","TimeSeries","BroadcastTime","Transcript","TweetTime","Tweet","RTCount","IsRetweet","IsInfluenced"
"241",2018-02-01 04:00:00,"2018-02-01 04:00:00",">> shannon: tomorrow we will bring you coverage of the president's remarks to the g.o.p. retreat. for now  most >> investigators looking at what caused an amtrak train carrying republican lawmakers to derail. >> a jarring feeling like an explosion. >> the train accident was a tough one  tremendous jewels. >> the memo should be released and it will be released so the world can see it. >> ms 13  a gang no one ever heard of. 's whenever he appears on tv there should be a disclaimer says this may not be acceptable for children. we deserve better. that is why i have called for 	his impeachment. ♪ ♪ >> good morning from the streets of new york city  lots of lights on. or they are tuning in to ""fox and friends"" first on thursday morning. not quite the weekend yet. thank you for joining us. let's get to that fox news alert. you could get to see that classified memo alleging abuse of power in the fbi as early as today. the director of the agency pushing back as the feud about it continues to intensify. the luzader live in the nation's 	capital with breaking details this morning. >> there is a real tug-of-war over this memo. the white house chief of staff suggests it may be released soon but the national security lawyers in the process of looking into it. >> slicing and dicing. >> what do you think? >> it will be released pretty quick and the world will see. >> donald trump was overheard after the state of the union address on tuesday telling a republican lawmaker he was willing to release it. republican members of congress say it details fbi abuses in the ongoing russia investigation but the fbi has been pushing back hard issuing a statement we have grave concerns about material omissions the fact that fundamentally impact the memo's accuracy and now the leading democrat on the house 	intelligence committee says the memo was altered before it was sent to the white house. adam schiff saying if the majority is intent on releasing it to the public despite repeated warnings from the doj and fbi it must hold a new vote to be released to the public its modified document. republicans are downplaying these changes saying they represent grammatical fixes and edits that the fbi and democrat requested. >> we will continue to follow this story. it will be developing throughout the day. republicans still fighting for transparency as evidence continues to pile up that corruption and bias take the top of the justice department. former speaker of the house newt gingrich says while the left tried to push their agenda that it was donald trump trying to fraud the american people democrats the whole time. >> turns out there may have been collusion to undermine the 	american presidential election by a government bureaucracy. it turns out the bureaucracy wasn't russian. it was american and it was the department of justice senior leadership and fbi senior leadership. that on one level is a really frightening insight about the future and the danger of a powerful police force deciding for the rest of us which politicians to go after. it is not the hard-working every day folks trying to protect america and trying to enforce the law. this thin layer  i think we will discover in the next few days clearly conspired to mislead a judge in order to get the ability to spy which was totally illegal. >> we will talk about this after the break. since may 2017 there have been at least six somewhat sudden departures from the fbi including james comey  peter strzok  lisa page and andrew 	>> jarring sound like an explosion but then the train kept going normally. >> instantaneous  we attempted to resuscitate him but i don't think he suffered. >> is seen you don't ever want to see. >> what was remarkable was several of those lawmakers  doctors  7 or 8 of them jumped in  gop members became first responders. paul ryan talking about their efforts. >> so thankful for the people who sprang into action today. so thankful the first responders and members of congress who sprang into action  thank you so much for what you guys did. it remind you how fragile life can be. 	>> the ntsb on scene  crews working behind me. when we first got here we got a look at the lay of the land and the ntsb held a press conference last night. spokesman earl weiner i asked him what were the factors  a blind spot in speed  here is what he told me. >> a blindside crossing factor you are looking at. >> we are looking at those factors. >> the ntsb also tells me that they will be here for a few days trying to figure this out and before we get a final report calling it an accident and you can see we are in a country area. there is a blind spot on the hill behind me  the train believed be traveling 50 miles an hour or more is going to be a lot to piece together but the 	damage  said news of at least one fatality  that young man  christopher foley who was on the train  we will bring you more as we get it this morning. >> there were other people on the train as well. 6 people total were taken to the hospital. one other lawmaker  one other  and aid to ryan but there were other people on the train as well. >> that is right. six were transported to the hospital. the one injured in the truck was airlifted to the hospital but a total of 6  when in critical condition still  four being treated and evaluated still in the hospital and one of those was able to leave and one of the ones taken to the hospital was the aid to paul ryan and one member  representative lewis  was treated at the hospital and 	released for a concussion. heather: the white house working to make a commonsense deal on immigration reform despite ongoing resistance from democrats. the administration breaking down the call to end chain migration  70% illegal immigration is through family ties. half of all immigrant households get some sort of handout from the government. the flood of immigrants without skills mean smaller paychecks and strange federal resources which also hurt american workers. i want to be bronx terrorist has to be separated from the new york city chelsea bomber in jail. he is accused of trying to recruit isis followers behind bars. the two conspired to get some drive with bomb making instructions and copies of an al qaeda magazine. he was caught by an undercover agent while trying to join isis. the defense system designed to protect the wife from possible nuclear attack just failed 	another test  the second and successful test in june. the anti-ballistic missile interceptor is a land-based system designed to shoot down any threat from north korea. the last successful test was last february. new overnight maxine waters slamming donald trump in her rebuttal to the state of the union. >> one speech cannot and does not make donald trump presidential. he is not presidential. he never will be presidential. he claims he is bringing people together but make no mistake  he is a dangerous  unprincipled  divisive and shameful racist. whenever he appears on tv there should be a disclaimer that says this may not be acceptable to children. we deserve better. that is why i have called for his impeachment. some believe it is too early. i disagree. 	the time is now. we must organize  challenge and resist. [applause] >> 5 democrats including joe kennedy and bernie sanders made public responses. the democrats who did show up for the state of the union sent a clear message of discussed for the president's message and some like nancy pelosi and senator chuck schumer are being criticized for their exasperation conservative radio host rush limbaugh is happy americans got to see them for who they truly are. >> i was happy  i was happy the democrats sat and didn't applaud and didn't stand up. i was happy. i wanted the american people to see it. i was happy when nancy pelosi had her sourpuss face like it 	wasn't working or something. i loved it when they looked at each other with confusion as if to say they are applauding that? democrats looked confused when republicans were applauding time and time again because they genuinely don't get it. >> according to a new poll donald trump's approval rating jumped up to 42% after the first state of the union address  that is up from 32% last month. donald trump could decide today is the controversial pfizer memo. a former fbi special agent joins us next  why he says every day americans deserve the truth. a person of interest questioning the las vegas massacre. the gun dealer who sold the ammo to stephen paddock just said. 	>> millions of people will be praying for you on january 26th and among those  all of us here at the white house including donald trump. >> the little girl who just made a miraculous recovery. ♪ ♪ some stupid video posted might get through ♪ what? i switched to geico and got more. more savings on car insurance? a-ha. and an award-winning mobile app. that is more. oh  there's more. mobile id cards  emergency roadside service... more technology. i can even add a new driver... ...right from her phone! geico. expect great savings and a whole lot more. 	>> the clash between the fbi and the white house growing over the release of the controversial republican memo and any minute now donald trump could make a decision on whether to release it. here is former fbi special agent who joined us to talk more about this. 	thank you  we appreciate it. let's get right to the latest  the partial statement from the fbi  they released this yesterday saying we have grave concerns about material omissions of fact that fundamentally impact the memo's accuracy but originally when nunez first said he was going to release this they said they couldn't dispute any facts within it. what do you think? >> i tell you  when you omit key facts to a document that is a summary of thousands and thousands of documents in itself he omissions can have grave consequences. i think all of us  every american sitting at home right now wants to have full transparency  not partial transparency anymore from anyone in washington and i'm talking republicans and democrats. any politician there are equally 	withholding information from the american public. if you take a document  four page summary i could give you a four page summary of the bible but i can omit john 3:16  god so loved the world he gave his only begotten son that whoever believes in him shall not perish but have everlasting life  jesus and i'm the way  the truth  the life  and other key  critical  completely deceived you of the truth and the only fact that matters that separates christianity from all the religions that jesus is god. that is dire consequences. doing the same thing with a memo of thousands and thousands of documents and paring it down to four pages can completely be misconstrued and have dire consequences. >> the fbi from what i understand  when they went to take a look at the fbi memo on 	sunday had 30 minutes and there were two or three other fbi members who took a look at it and they came out with this response and as of late last night a report there were changes made. whether those changes were made by republicans or the fbi out of their concern democrats are saying wait a minute  the memo has been changed. here is what devon nunez had to say in response to the statement. saying having stonewalled congress's demand for information for nearly a year no surprise the fbi and doj issue objections to allowing the american people to see information related to surveillance abuses of these agencies  do you think this is just another effort to stonewall? >> no. it is an effort  you pair down something to four pages and omit key facts you can make it say whatever you want to to say. you can do that and i think the fbi is saying when the american public doesn't have the full 	totality of all of the fact if we release a four page memo i'm all for that  let's also release the pfizer application  let's release the woods review file that goes with it that backs every factual assertion in the affidavit. let's release the contents of what the pfizer warrant is gleaning during the investigation  let's see the totality of everything and then the american public  you and me and the second balcony at the state of the union  americans who deserve to hear the truth can know everything. will that happen? that will never happen and that is just being lied to because the politicians in dc  i am just sick and tired of seeing this political ball go back and forth. >> the american people have a right to decide on their own  i agree with you about that 100%. thank you  great to have you join us with your insight. >> appreciate it  have a great 	day. >> the time is 20 minutes after the top of the hour. sick and tired  the head of ice slamming liberals who turn immigration agents into the enemy and super bowl security from the skies to the ground  unprecedented measures years in the making  stay tuned for that. you know what's awesome? gig-speed internet. 	you know what's not awesome? when only certain people can get it. let's fix that. 	let's give this guy gig- really? and these kids  and these guys  him  ah. oh hello. that lady  these houses! yes  yes and yes. and don't forget about them. uh huh  sure. still yes! xfinity delivers gig speed to more homes than anyone. now you can get it  too. welcome to the party. >> not just the flu virus  no medication is being blamed for at least one death. and indiana family saying chemicals caused their 6-year-old son to take his own life. charlie killing himself one day after being diagnosed with the virus and taking tamiflu. his legal guardian blaming the medication have severe side effects which warn of abnormal behavior in young patients  and 	keira molina died from the flu in georgia just five days after being diagnosed. health officials also confirming that a 4-year-old new jersey girl died in december. there have been 37 pediatric deaths from the flu so far this season. former basketball star and american idol contestant dead after a high-speed crash  butler and his wife passing away after their car slammed into a wall and rolled over in california. but there was diving two or three times the speed limit at the time. he played 14 years in the nba retiring in 2016. labelle competed on american idol in 2003 and became an r&b singer. butler was 38  labelle was 31. it is game time for minneapolis just days until the super bowl  officials are willing to keep millions of people safe at all 	the week's evens. live from los angeles  how they are stepping up security. >> reporter: last time minneapolis hosted the super bowl was 1992  and this was a part of the way people were communicating  pagers. technology has changed quite a bit  so has the threat post 9/11 and more recently after the las vegas massacre. with that in mind authorities in minnesota say they are ready for anything. >> we need to make sure the symbol of our freedom for americans to get together and enjoy their pastimes we have to issue are there safety is first and foremost. >> thousands of members of law enforcement will blanket minneapolis and that of the super bowl showdown between the patriot and the eagles  monitoring the situation from a central command center where residents and fans can expect increased police patrols  bomb 	sniffing dogs  helicopters and thousands of cameras spread across the city. >> due to its size and scope it is and can be an attractive target  we don't have any credible or specific threat but we will continue to actively monitor international partners. >> philadelphia and doing clinton's coaches of the xs and ohs  we planned  we trained  game time for us and we are ready. >> they are taking the event so seriously they sent customs and border patrol agents to minneapolis to x-ray every vehicle going to the stadium and they need the public's help  if anyone sees anything suspicious they should report it to authorities immediately. >> reporter: game time almost here. the time is almost 30 minutes after the top of the hour. deadly train collision  republican lawmakers springing into action after an amtrak train collides into a truck. 	>> a jarring sound and feeling like an explosion. >> you don't ever want to see. >> congressman robert pinter was on the train and joins us live up next to share his story. wait until you hear who kathy griffin is blaming for her tasteless attack on donald trump now. the world's smallest  most comfortable rechargeable hearing aid designed with patented flexi fibers so they're suspended completely inside the ear canal and so small that they're virtually invisible. the kind of invisibility hearing aid wearers have been looking for if you could look for invisibility  that is. which  you can't. or  i guess you can  but you won't find it. well  because it's invisible. you know  any way  the point is most people probably won't even know you're wearing them  and they're so comfortable you might forget you're wearing them yourself. 	eargo plus is also rechargeable  so there's no need to replace batteries. because there's nothing more frustrating than those tiny hearing aid batteries  or there probably is  but we just can't think of it right now  and our advanced noise reduction technology reduces background noise. don't wait. call or go online now to get your free sample pair today  and try the hearing aid pcmagazine called  ""tiny  comfortable  and nearly invisible."" eargo  hear life to the fullest.","","","","",""
"242",2018-02-01 04:01:00,"","","","","","",""
"243",2018-02-01 04:02:00,"","","","","","",""
"244",2018-02-01 04:03:00,"","","","","","",""
"245",2018-02-01 04:04:00,"","","","","","",""
"246",2018-02-01 04:05:00,"","","","","","",""
"247",2018-02-01 04:06:00,"","","","","","",""
"248",2018-02-01 04:07:00,"","","","","","",""
"249",2018-02-01 04:08:00,"","","","","","",""
"250",2018-02-01 04:09:00,"","","","","","",""
